STATION,NAME,DATE,DAEV,DAWM,EVAP,MDEV,MDWM,MNPN,MXPN,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WDMV
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-06-15,,,1.15,,,,,0,0,0,119,93,117,146
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-06-16,,,0.9,,,,,0,0,0,120,90,119,42.3
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-06-17,,,0.78,,,,,0,0,0,121,94,119,16.8
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-06-18,,,0.9,,,,,0,0,0,120,94,120,136.7
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-06-19,,,0.75,,,,,0,0,0,123,87,122,36
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-06-20,,,0.64,,,,,0,0,0,125,92,123,49.1
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-06-21,,,0.91,,,,,0,0,0,125,91,123,78.3
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-06-22,,,1.12,,,,,0,0,0,124,100,121,144.2
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-06-23,,,0.93,,,,,0,0,0,123,98,123,87
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-06-24,,,0.69,,,,,0,0,0,124,97,123,78.9
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-06-25,,,0.75,,,,,0,0,0,124,95,117,49.7
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-06-26,,,0.94,,,,,0,0,0,120,93,119,116.8
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-06-27,,,0.89,,,,,0,0,0,120,93,116,142.9
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-06-28,,,0.95,,,,,0,0,0,117,91,114,183.9
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-06-29,,,1.1,,,,,0,0,0,114,88,109,174
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-06-30,,,0.75,,,,,0,0,0,113,81,112,75.8
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-07-01,,,0.64,,,,,0,0,0,116,77,115,51
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-07-02,,,0.82,,,,,0,0,0,118,85,114,57.2
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-07-03,,,0.99,,,,,0,0,0,116,94,94,206.9
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-07-04,,,0.58,,,,,0,0,0,107,82,106,31.7
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-07-05,,,1.07,,,,,0,0,0,107,87,105,208.8
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-07-06,,,0.78,,,,,0,0,0,109,83,108,103.8
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-07-07,,,0.6,,,,,0,0,0,114,83,113,47.8
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-07-08,,,0.75,,,,,0,0,0,117,81,116,51
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-07-09,,,0.62,,,,,0,0,0,122,88,121,42.3
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-07-10,,,0.88,,,,,0,0,0,125,90,123,36
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-07-11,,,0.76,,,,,0,0,0,125,98,123,47.2
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-07-12,,,0.87,,,,,0,0,0,123,99,117,72.1
